code,count,hex,rgb
A1,1,#FAF4C8,"250,244,200"
B22,1,#0B3C43,"11,60,67"
B23,1,#303A21,"48,58,33"
C6,2,#50AAF0,"80,170,240"
C12,378,#1C334D,"28,51,77"
C13,1,#CDE8FF,"205,232,255"
C18,19,#1D3344,"29,51,68"
C20,7,#176DAF,"23,109,175"
C24,2,#7CC4FF,"124,196,255"
C27,2,#D3DFFA,"211,223,250"
C28,2,#BBCFED,"187,207,237"
C29,130,#34488E,"52,72,142"
D1,8,#AEB4F2,"174,180,242"
D2,43,#858EDD,"133,142,221"
D6,15,#AC7BDE,"172,123,222"
D7,2,#8854B3,"136,84,179"
D8,4,#E2D3FF,"226,211,255"
D9,10,#D5B9F8,"213,185,248"
D10,124,#361851,"54,24,81"
D11,3,#B9BAE1,"185,186,225"
D17,2,#C4D4F6,"196,212,246"
D22,2,#333A95,"51,58,149"
D23,3,#EBDAFC,"235,218,252"
D24,5,#7786E5,"119,134,229"
D26,7,#DFC2F8,"223,194,248"
E8,3,#FFDBE9,"255,219,233"
E14,4,#FFD1BA,"255,209,186"
E16,11,#FFF3EB,"255,243,235"
E17,1,#FFE2EA,"255,226,234"
E23,11,#937A8D,"147,122,141"
F6,1,#943630,"148,54,48"
F11,2,#5A2121,"90,33,33"
F16,2,#FEC2A6,"254,194,166"
F17,1,#E69C79,"230,156,121"
G1,2,#FFE2CE,"255,226,206"
G3,1,#F4C3A5,"244,195,165"
G8,1,#753832,"117,56,50"
G12,1,#FFC890,"255,200,144"
G17,1,#78524B,"120,82,75"
G18,2,#FFE4CC,"255,228,204"
H1,122,#FDFBFF,"253,251,255"
H2,5978,#FEFFFF,"254,255,255"
H3,5,#B6B1BA,"182,177,186"
H4,22,#89858C,"137,133,140"
H5,60,#48464E,"72,70,78"
H6,229,#2F2B2F,"47,43,47"
H7,2355,#000000,"0,0,0"
H9,88,#EDEDED,"237,237,237"
H11,4,#CECDD5,"206,205,213"
H12,7,#FFF5ED,"255,245,237"
H14,2,#CFD7D3,"207,215,211"
H15,1,#98A6A8,"152,166,168"
H16,213,#1D1414,"29,20,20"
H18,17,#FFFDF0,"255,253,240"
H19,29,#F6EFE2,"246,239,226"
H20,5,#949FA3,"148,159,163"
H21,5,#FFFBE1,"255,251,225"
H22,1,#CACAD4,"202,202,212"
H23,7,#9A9D94,"154,157,148"
M1,2,#BCC6B8,"188,198,184"
M11,6,#9F7594,"159,117,148"
M12,2,#644749,"100,71,73"
M13,1,#D19066,"209,144,102"
M14,1,#C77362,"199,115,98"
M15,20,#757D78,"117,125,120"
