code,count,hex,rgb
A1,1,#FAF4C8,"250,244,200"
A11,1,#FFDD99,"255,221,153"
A23,1,#E6C9B7,"230,201,183"
C12,158,#1C334D,"28,51,77"
C18,6,#1D3344,"29,51,68"
C20,4,#176DAF,"23,109,175"
C24,1,#7CC4FF,"124,196,255"
C27,1,#D3DFFA,"211,223,250"
C29,34,#34488E,"52,72,142"
D1,3,#AEB4F2,"174,180,242"
D2,15,#858EDD,"133,142,221"
D6,7,#AC7BDE,"172,123,222"
D7,2,#8854B3,"136,84,179"
D9,6,#D5B9F8,"213,185,248"
D10,66,#361851,"54,24,81"
D11,1,#B9BAE1,"185,186,225"
D16,1,#E3E1EE,"227,225,238"
D19,1,#D8C3D7,"216,195,215"
D26,1,#DFC2F8,"223,194,248"
E14,1,#FFD1BA,"255,209,186"
E16,4,#FFF3EB,"255,243,235"
E20,1,#D8C7D1,"216,199,209"
E23,4,#937A8D,"147,122,141"
G3,1,#F4C3A5,"244,195,165"
G15,1,#FCF9E0,"252,249,224"
G17,1,#78524B,"120,82,75"
H1,70,#FDFBFF,"253,251,255"
H2,2413,#FEFFFF,"254,255,255"
H4,9,#89858C,"137,133,140"
H5,24,#48464E,"72,70,78"
H6,92,#2F2B2F,"47,43,47"
H7,1000,#000000,"0,0,0"
H9,33,#EDEDED,"237,237,237"
H11,1,#CECDD5,"206,205,213"
H12,3,#FFF5ED,"255,245,237"
H14,1,#CFD7D3,"207,215,211"
H16,75,#1D1414,"29,20,20"
H18,9,#FFFDF0,"255,253,240"
H19,5,#F6EFE2,"246,239,226"
H20,5,#949FA3,"148,159,163"
H21,4,#FFFBE1,"255,251,225"
H22,3,#CACAD4,"202,202,212"
H23,8,#9A9D94,"154,157,148"
M1,2,#BCC6B8,"188,198,184"
M3,1,#697D80,"105,125,128"
M7,1,#B4A497,"180,164,151"
M11,2,#9F7594,"159,117,148"
M12,1,#644749,"100,71,73"
M15,11,#757D78,"117,125,120"
